dateTime,authorName,Message
2022-12-20 17:21:37,Amonrat Kheawratana,ท
2022-12-20 17:26:36,TOUCHCHANDARA,อย่าลืมพาฉันไปกัมพูชาที่ประเทศไทย ฉันไม่ได้อยู่ที่กัมพูชาแล้ว และฉันต้องการไปประเทศไทยให้เร็วที่สุด
2022-12-20 17:28:09,somporn jitmas,คนใต้บอกว่าไม่รู้หวัน คลื่นลมแรงยังออกทะเล สรุปว่าไม่มีความรู้
2022-12-20 17:29:15,KENG CONFIDENT TH.MG.,เสื้อชูชีพยังมีไม่ครบเลย 
2022-12-20 17:30:09,prawad deemak,เรือรบลำใหญ่มาก ไม่ใช่ลำเล็กๆ
2022-12-20 17:30:38,Cherry Smoothies,สงสารคนที่จมน้ำ 🥹
2022-12-20 17:31:16,ชีวิตผมทำไหมมันยากจังเลยยยฺ,ผิดเป็นครู
2022-12-20 17:31:37,Oppo A3s,สรุปมีทหารกี่คนบนเรือรบหลวงสุโขทัย
2022-12-20 17:32:05,somporn jitmas,สู้บริษัทขุดเจะน้ำมันฝรั่งไม่ได้ อุปกรณ์ชูชีพต้องมากกว่าคน 
2022-12-20 17:32:48,Oppo A3s,ทำไมมีชูชีพไม่ครบคน
2022-12-20 17:32:50,Nat St,ลาออกไป:pouting_face::pouting_face::pouting_face::pouting_face::pouting_face:
2022-12-20 17:33:57,Narong Insawat,ก่อนยาตราเรือ..ไม่ได้เช็คลมฟ้าอากาศก่อนหรือครับ...
2022-12-20 17:33:58,Rachan Poolkit,พูดดีมาก แต่ล้มเหลวทุกอย่างที่ทำ
2022-12-20 17:34:35,Nat St,พิธีการ สำคัญกว่า ชีวิตทหารไง :pouting_face::pouting_face::pouting_face::pouting_face:
2022-12-20 17:34:49,Thai PBS,ติดตามความคืบหน้าการค้นหากำลังพล #เรือหลวงสุโขทัย วิเคราะห์ปัญหาและหนทางป้องกัน ในทุกช่วงข่าว Thai PBS ช่องหมายเลข 3
2022-12-20 17:34:51,somporn jitmas,ต่างประเทศผู้รับผิดชอบต้องลาออก เช่นเกาหลี
2022-12-20 17:34:54,Boonuea Siripanya,ขอเป็นกำลังใจให้ทร.ทุกท่าน
2022-12-20 17:35:03,จิรโชค โสภาเวทย์,ทำไมไม่เช็คสภาพอากาศก่อนเดินเรือ
2022-12-20 17:35:15,Oppo A3s,ไหนมีข่าวว่ามีเรือรบหลวงภูมิพลมาช่วยทุกคนปลอดภัยตอนนั้นเรือยังไม่อันปางไม่ใช่หรือ
2022-12-20 17:35:30,Dasdfy Rasdfg,j
2022-12-20 17:35:48,Yutapong Rahong,ซุ้มประตูทางเข้าหน่วยบัญชาการนาวิกโยธิน มูลค่า 20 ล้านบาท สำคัญกว่าชูชีพ ครับ สะใจ..งบลับเป็นความมันคง ห้ามตรวจสอบ 555 ประเทศกูมีใครจะทำไม หา....
2022-12-20 17:36:23,Mr. Donut,เสียงเบาจังครับ
2022-12-20 17:36:44,Dasdfy Rasdfg,the
2022-12-20 17:37:25,ธีรวัฒน์ โพธิกุล,รายงาน รายงาน รายงาน รายงานให้ทราบ นี้ยังไม่ทราบเลยหรอ
2022-12-20 17:37:30,Dasdfy Rasdfg,u
2022-12-20 17:37:42,Amm Maxx,สมมติว่ามีคนบนเริอ 20 คน ควรจะมีเสื้อชูชีพ 20 ตัวหรอ? ไม่ต้องมีสำรอง เผื่อ เลย?
2022-12-20 17:38:41,Dasdfy Rasdfg,the
2022-12-20 17:38:54,Dasdfy Rasdfg,n
2022-12-20 17:39:04,Dasdfy Rasdfg,uj
2022-12-20 17:39:26,Dasdfy Rasdfg,unj
2022-12-20 17:39:41,Dasdfy Rasdfg,j
2022-12-20 17:39:45,ในน้ํามีปลา ในนามีข้าว,พูดไปยาวยัวไม่อยู่ในประเด่นเลย
2022-12-20 17:40:15,Dasdfy Rasdfg,my
2022-12-20 17:40:44,Dasdfy Rasdfg,.
2022-12-20 17:40:46,somporn jitmas,ต้องเพิ่มคำว่าคุณภาพเข้ามาหน่อยครับ
2022-12-20 17:40:48,จารึก ห้องเม่ง,ช่วยคนมีชูชีพก่อนแล้วค่อยถอดชูชีพให้กับคนไม่ใด้ใส่
2022-12-20 17:41:10,Narong Insawat,ระหว่างมีคลื่นลมแรง ผู้การเรือทำไมไม่สั่งหยุดเรือ..แล้วปล่อยให้เรือลอยไปตามสภาพของคลื่นที่สูงๆ
2022-12-20 17:41:50,สุมิตร รัตนสัมฤทธิ์,สู้ ๆ ครับ
2022-12-20 17:42:02,จารึก ห้องเม่ง,งานงอกแน่ๆ
2022-12-20 17:42:09,Dasdfy Rasdfg,jjjjjjj
2022-12-20 17:42:36,มนต์ชัย ศรไชย,ถ้าบอกว่าคลื่นลมแรงจริง ๆ ส่ง รล.กระบุรีไปทำไม ไม่กลัวอับปรางหรือครับ
2022-12-20 17:42:57,Dasdfy Rasdfg,jjjj
2022-12-20 17:43:06,somporn jitmas,ผู้การคนนี้น่าจะไปเรียนวิชาจากไต่กงเรือประมงก่อนครับ
2022-12-20 17:43:11,KAWIN CHANNEL TH,คลื่นสูงขนาดนั้นยังเสี่ยงออกไปอีก ระบบแจ้งเตือนติดต่อตัดสินใจล่าช้ามาก
2022-12-20 17:43:15,Dasdfy Rasdfg,.
2022-12-20 17:45:12,Dasdfy Rasdfg,it
2022-12-20 17:45:19,toney ayum,นี่คือเรือรบ ฉะนั้นมันมีความทนทะเลสูงมาก คลื่นลมแค่นี้ มันไร้สาระสำหรับเรือรบ
2022-12-20 17:45:53,ในน้ํามีปลา ในนามีข้าว,เห้อพวกเพื่อนเรา
2022-12-20 17:45:56,Amm Maxx,อยากทราบว่าผู้บัญชาการเรือขณะนั้นได้สละเสื้อให้ลูกเรือหรือไม่
2022-12-20 17:46:05,Narong Insawat,รู้ทั้งรู้ว่ามีคลื่นลมแรง..ก็ยังส่งเรือไปช่วย..ไม่กลัวเรือล่มเหรอ..(เคสเดียวกัน) เจอคลื่นลมแรงน่าจะหยุดเรือและปล่อยให้เรือมันโคลงไปตามสภาพคลื่น
