dateTime,authorName,Message
2022-12-20 19:51:46,พิศเสถียร อิสสระชัย,ดีครับ คุณ อ๊อฟ กระแสมาแรง
2022-12-20 19:56:02,sk never die,สวัสดีครับ คุณอ๊อฟ
2022-12-20 20:00:24,V.viriya,Hi
2022-12-20 20:02:55,THE STANDARD,THE STANDARD ECONOMIC FORUM 2022จำหน่ายบัตรรับชมย้อนหลังดูรายละเอียดและซื้อบัตรได้ที่https://www.thaiticketmajor.com/semin...
2022-12-20 20:03:12,นะโม ตาสวด,สวัสดีครับ
2022-12-20 20:03:28,Amnuay Ps,สวัสดีค่ะคุณอ๊อฟ
2022-12-20 20:03:52,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,หยุดปกปิดข้อเท็จจริง
2022-12-20 20:04:03,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือมีรอยรั่ว ปิดข่าว เพื่อ
2022-12-20 20:04:37,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ต้องมีคนรับผิดชอบงานนี้
2022-12-20 20:04:39,Amnuay Ps,ขอให้พูดความจริงค่ะ
2022-12-20 20:04:47,บรู๊ค ลินน์ NY,นี่แหละ ผลพวง ฉ้อราษฎร์บังหลวง
2022-12-20 20:04:52,Cool Airny, เด็ดๆ
2022-12-20 20:05:02,นะโม ตาสวด,ไหนเมื่อวานบอก ปลอดภัยทุกคน
2022-12-20 20:05:03,นายขนมครก,เรือล่มความผิดใคร
2022-12-20 20:05:09,Cool Airny,อนาลโย ตัวตึง มาล่ะ
2022-12-20 20:05:13,kanda wichangoen,ความประมาทและห่วยในการรักษาความปลอดภัย
2022-12-20 20:05:30,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,นาโย ฟาดหนักๆ
2022-12-20 20:05:40,บรู๊ค ลินน์ NY,ดีเหมือนกัน ทหารเจอบ้าง
2022-12-20 20:05:46,Cool Airny,ผบ ทร
2022-12-20 20:05:59,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ทำไมลูกเรือ ถึงบอกว่าเรือมีรอยรั่ว
2022-12-20 20:06:09,P. Wuttichai,บอกเรือมีไว้เพื่อช่วยเหลือ แต่อุปกรณ์ของเรือตัวเองกลับมีไม่พอ ถถถถ
2022-12-20 20:06:09,p sri,ไม่มีงบซ่อมบำรุง แต่กูจะเอาเรือดำน้ำ :pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face::pouting_face:
2022-12-20 20:06:13,แผ่นดิน ( ͡~ ͜ʖ ͡°),ผบ.เรือสุโขทัย ชื่ออะไร?
2022-12-20 20:06:17,Chorthip Kamlaingoen,เอาให้ชัดนะ อย่าแค่ปัดสวะให้พ้นตัว
2022-12-20 20:06:18,นายขนมครก,ผมไม่นิยมตัดสินทันทีแต่ถ้ามีประเด็นสงสัยควรตรวจสอบเพื่อความโปร่งใสเพราะเรื่องใหญ่มาก
2022-12-20 20:06:23,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือมีรอยรั่ว ประมาทเอาเรือออก ต้องมีคนรับผิดชอบ
2022-12-20 20:06:26,นะโม ตาสวด,เรือโดน อะไรมา
2022-12-20 20:06:42,บรู๊ค ลินน์ NY,ลูกเรือต้องไปด่าหัวหน้าท่าน
2022-12-20 20:07:22,แผ่นดิน ( ͡~ ͜ʖ ͡°),ข่าวบอกว่า จะไปรวมงานเสด็จเตี๋ย
2022-12-20 20:07:25,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,นายขนมครก โปร่งใส่ แต่ตรวจสอบไม่ได้ ลุงตู่ ลุงป้อม
2022-12-20 20:07:31,บรู๊ค ลินน์ NY,สวัสดีค่ะ แผ่นดิน
2022-12-20 20:07:42,บรู๊ค ลินน์ NY,:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:
2022-12-20 20:07:42,P. Wuttichai,ย้อนแย้งจัดๆ
2022-12-20 20:07:52,นะโม ตาสวด,ใครรับผิดชอบ
2022-12-20 20:07:53,แผ่นดิน ( ͡~ ͜ʖ ͡°),@บรู๊ค ลินน์ NY สวัสดีครับ
2022-12-20 20:07:59,TRWTS,งบกลาโหมนุคประยุทธ ปีละ 2แสน 9หมื่นกว่าล้านบาท แต่ขาดเสื้อชูชีพ เวรจริงๆ
2022-12-20 20:08:45,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือช่วยเหลือคนอื่น แต่มีเสื้อชูชีพ 75 แล้วทำไมถึงเอาคนขึ้นไปเป็นร้อย เสือชีชืพต้องมีสำรองเอาไว้ ไม่ใช่พอดี สรุป แดก คอรับชั่น แดกยันร่มชูชีพ
2022-12-20 20:08:53,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ประมาทล้วนๆ
2022-12-20 20:09:21,นายขนมครก,มันเรื่องใหญ่ต้องตรวจสอบครับว่าโกงหรือไม่
2022-12-20 20:09:21,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ช่วยตัวเองไม่รอด จะไปช่วยคนอื่น ถุ้ย ตอนของบ บอกเอาไว้ปกป้องประชาชน
2022-12-20 20:09:29,MTMobile,งบทหารเยอะแยะไปให้หมด
2022-12-20 20:09:42,TRWTS,เอางบไปซื้อรถเบนส์ให้พวกนายพลนั่งสบายเฉิบ(รถควบคุมสั้งการ)แต่เสื้อชูชีพไม่พอ ..เวร..
2022-12-20 20:09:44,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ลดนายพล กองทัพจะมีงบ บำรุงรักษาเพิ่มขึ้น
2022-12-20 20:10:08,คนช่างฝัน,แด่ลูกประดู่ :anchor::anchor::anchor: ทุกท่านที่จากไปในเหตุการครั้งนี้
2022-12-20 20:10:10,Aum Nattapon,นี่คือ ผบ.ทร หรอ
2022-12-20 20:10:12,วายโซวะ,ใครรับการผิดชอบ
2022-12-20 20:10:12,นายขนมครก,ไม่การันตีแต่ดีกว่าไม่มีอะไรเลยนะ
2022-12-20 20:10:13,Chorthip Kamlaingoen,งบที่เอาไปไปไหนหมด
2022-12-20 20:10:16,Cool Airny,นอกจากกำลัง พลที่สูญเสีย ยังมีอุปกรณ์ในเรือที่เสียหาย
2022-12-20 20:10:22,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,น่าเอาพ่อ เอาลูก ผบ ไปนั่งบนเรือบ้าง
2022-12-20 20:10:23,นายขนมครก,ไม่น่าพูดออกมาเลย
2022-12-20 20:10:42,บรู๊ค ลินน์ NY,น่าสมเพช เรือไทย
2022-12-20 20:11:09,นายขนมครก,ไม่ชอบโดสเลยครัย :face_with_symbols_on_mouth:
2022-12-20 20:11:19,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือไม่ได้ไม่มีประสิทธิภาพ แต่มันขาดการบำรุงรักษา เรือมีรอยรั่วตั้งแต่ก่อนออกเดินทาง แต่ก็ยังออกไป
2022-12-20 20:11:30,YYGG,จึงต้องซื้อเรือดำน้ำใหม่ จร้าาาาา
2022-12-20 20:11:43,Chorthip Kamlaingoen,พูดไดแสบมากท่าน กลวงจริงๆ
